symbol,bucket,dex,source,live_only,canonical_underlying,note
flx:COIN,stocks,flx,perpCategories,no,COIN,
flx:COPPER,commodities,flx,perpCategories,no,COPPER,
flx:CRCL,stocks,flx,perpCategories,no,CRCL,
flx:GAS,commodities,flx,perpCategories,no,GAS,
flx:GOLD,commodities,flx,perpCategories,no,GOLD,
flx:NVDA,stocks,flx,perpCategories,no,NVDA,
flx:OIL,commodities,flx,perpCategories,no,OIL,
flx:PALLADIUM,commodities,flx,perpCategories,no,PALLADIUM,
flx:PLATINUM,commodities,flx,perpCategories,no,PLATINUM,
flx:SILVER,commodities,flx,perpCategories,no,SILVER,
flx:TSLA,stocks,flx,perpCategories,no,TSLA,
flx:USA500,indices,flx,perpCategories,no,USA500,
km:AAPL,stocks,km,perpCategories,no,AAPL,
km:BABA,stocks,km,perpCategories,no,BABA,
km:BMNR,stocks,km,perpCategories,no,BMNR,
km:GLDMINE,indices,km,perpCategories,no,GLDMINE,
km:GOLD,commodities,km,perpCategories,no,GOLD,
km:GOOGL,stocks,km,perpCategories,no,GOOGL,
km:MU,stocks,km,perpCategories,no,MU,
km:NVDA,stocks,km,perpCategories,no,NVDA,
km:PLTR,stocks,km,perpCategories,no,PLTR,
km:RTX,stocks,km,perpCategories,no,RTX,
km:SEMI,indices,km,perpCategories,no,SEMI,
km:SILVER,commodities,km,perpCategories,no,SILVER,
km:SMALL2000,indices,km,perpCategories,no,SMALL2000,
km:TSLA,stocks,km,perpCategories,no,TSLA,
km:US500,indices,km,perpCategories,no,US500,
km:USENERGY,indices,km,perpCategories,no,USENERGY,
km:USOIL,commodities,km,perpCategories,no,USOIL,
km:USTECH,indices,km,perpCategories,no,USTECH,
vntl:ANTHROPIC,preipo,vntl,perpCategories,no,ANTHROPIC,
vntl:BIOTECH,indices,vntl,perpCategories,no,BIOTECH,
vntl:DEFENSE,indices,vntl,perpCategories,no,DEFENSE,
vntl:ENERGY,indices,vntl,perpCategories,no,ENERGY,
vntl:GOLDJM,indices,vntl,perpCategories,no,GOLDJM,
vntl:INFOTECH,indices,vntl,perpCategories,no,INFOTECH,
vntl:MAG7,indices,vntl,perpCategories,no,MAG7,
vntl:NUCLEAR,indices,vntl,perpCategories,no,NUCLEAR,
vntl:OPENAI,preipo,vntl,perpCategories,no,OPENAI,
vntl:ROBOT,indices,vntl,perpCategories,no,ROBOT,
vntl:SEMIS,indices,vntl,perpCategories,no,SEMIS,
vntl:SILVERJM,indices,vntl,perpCategories,no,SILVERJM,
vntl:SPACEX,preipo,vntl,perpCategories,no,SPACEX,
xyz:AAPL,stocks,xyz,perpCategories,no,AAPL,
