symbol,market_type,canonical_underlying
XAU,commodity,GOLD
XAG,commodity,SILVER
XCU,commodity,COPPER
XPT,commodity,PLATINUM
XPD,commodity,PALLADIUM
WTI,commodity,WTI
NATGAS,commodity,NATGAS
BRENTOIL,commodity,BRENTOIL
EURUSD,fx,EURUSD
USDKRW,fx,USDKRW
USDJPY,fx,USDJPY
GBPUSD,fx,GBPUSD
USDCHF,fx,USDCHF
NZDUSD,fx,NZDUSD
SKHYNIX,equity,SKHYNIX
SAMSUNG,equity,SAMSUNG
HYUNDAI,equity,HYUNDAI
HANMI,equity,HANMI
KRCOMP,index,KRCOMP
NVDA,equity,NVDA
TSLA,equity,TSLA
CRCL,equity,CRCL
GOOGL,equity,GOOGL
MSTR,equity,MSTR
MSFT,equity,MSFT
AMZN,equity,AMZN
AAPL,equity,AAPL
COIN,equity,COIN
META,equity,META
INTC,equity,INTC
HOOD,equity,HOOD
ASML,equity,ASML
AMD,equity,AMD
SNDK,equity,SNDK
SPY,index,SPY
QQQ,index,QQQ
DIA,index,DIA
BOTZ,index,BOTZ
MAGS,index,MAGS
IWM,index,IWM
