captured_at_utc,exchange_time,exchange_time_ms,asset,coin,best_bid_px,best_bid_sz,best_bid_orders,best_ask_px,best_ask_sz,best_ask_orders,mid_px,spread_px,spread_bps,bid_depth_5_sz,bid_depth_5_notional,ask_depth_5_sz,ask_depth_5_notional,bid_depth_20_sz,bid_depth_20_notional,ask_depth_20_sz,ask_depth_20_notional
2026-04-29T00:00:00.650195Z,2026-04-28T23:59:59.536000Z,1777420799536,SILVER,xyz:SILVER,73.298,10.97,1,73.304,190.98,2,73.301,0.006000000000000227,0.8185427211088835,932.1,68317.18475,7325.55,537009.1925499999,15917.910000000002,1166505.09669,15217.15,1115594.2075699996
2026-04-29T00:00:01.313762Z,2026-04-28T23:59:59.536000Z,1777420799536,SILVER,xyz:SILVER,73.298,10.97,1,73.304,190.98,2,73.301,0.006000000000000227,0.8185427211088835,932.1,68317.18475,7325.55,537009.1925499999,15917.910000000002,1166505.09669,15217.15,1115594.2075699996
2026-04-29T00:00:02.000955Z,2026-04-29T00:00:01.218000Z,1777420801218,SILVER,xyz:SILVER,73.287,29.03,2,73.296,1000.0,4,73.29150000000001,0.009000000000000341,1.2279732301836284,356.45,26121.86889,4128.66,302625.15943999996,14070.220000000003,1030891.7008700001,19163.430000000004,1404860.75438
2026-04-29T00:00:03.098598Z,2026-04-29T00:00:03.339000Z,1777420803339,SILVER,xyz:SILVER,73.327,500.0,2,73.328,0.16,1,73.3275,0.0010000000000047748,0.13637448433463228,2500.0,183312.5,62.870000000000005,4610.33037,17115.609999999997,1254807.3946600002,7751.74,568574.8174299999
2026-04-29T00:00:04.023126Z,2026-04-29T00:00:03.844000Z,1777420803844,SILVER,xyz:SILVER,73.327,50.27,2,73.329,79.38,1,73.328,0.001999999999995339,0.2727471088800102,1675.6,122850.69738999999,421.53000000000003,30912.525219999996,15744.939999999999,1154232.38693,8489.28,622665.98123
2026-04-29T00:00:05.000827Z,2026-04-29T00:00:04.919000Z,1777420804919,SILVER,xyz:SILVER,73.34,213.62,2,73.344,1.36,1,73.342,0.003999999999990678,0.5453900902607889,4979.4400000000005,365151.58861,251.47,18445.299199999998,14597.68,1070344.65686,10792.720000000001,791809.9969200001
2026-04-29T00:00:06.001762Z,2026-04-29T00:00:05.975000Z,1777420805975,SILVER,xyz:SILVER,73.342,100.14,2,73.347,37.44,1,73.3445,0.0049999999999954525,0.6817143753104122,1145.79,84031.33867999999,6048.18,443670.54844000004,20256.810000000005,1485307.0286200002,15860.93,1163587.9229
2026-04-29T00:00:07.000619Z,2026-04-29T00:00:07.079000Z,1777420807079,SILVER,xyz:SILVER,73.351,420.47,2,73.353,24.06,1,73.352,0.001999999999995339,0.2726578689054612,1155.3200000000002,84738.72902000001,748.05,54874.044599999994,10901.57,799430.6586100002,13810.149999999998,1013228.8952599998
2026-04-29T00:00:08.175974Z,2026-04-29T00:00:07.600000Z,1777420807600,SILVER,xyz:SILVER,73.351,378.12,2,73.353,24.06,1,73.352,0.001999999999995339,0.2726578689054612,1110.24,81432.24051,807.16,59210.254199999996,12879.12,944431.1052000001,11320.199999999999,830514.3441599999
2026-04-29T00:00:09.000427Z,2026-04-29T00:00:08.667000Z,1777420808667,SILVER,xyz:SILVER,73.351,358.05,2,73.352,736.73,2,73.3515,0.0010000000000047748,0.13632986373895215,1040.32,76303.05501000001,1433.6000000000001,105160.23908,12626.45,925913.1237900001,11364.33,833741.2043599999
2026-04-29T00:00:10.000369Z,2026-04-29T00:00:09.744000Z,1777420809744,SILVER,xyz:SILVER,73.351,336.82,2,73.352,797.17,4,73.3515,0.0010000000000047748,0.13632986373895215,1182.59,86735.02116999999,1169.96,85821.53808,13379.110000000002,981085.7521600001,13693.71,1004679.1212899998
2026-04-29T00:00:11.000939Z,2026-04-29T00:00:09.744000Z,1777420809744,SILVER,xyz:SILVER,73.351,336.82,2,73.352,797.17,4,73.3515,0.0010000000000047748,0.13632986373895215,1182.59,86735.02116999999,1169.96,85821.53808,13379.110000000002,981085.7521600001,13693.71,1004679.1212899998
2026-04-29T00:00:12.000917Z,2026-04-29T00:00:12.515000Z,1777420812515,SILVER,xyz:SILVER,73.351,1145.41,6,73.352,25.44,1,73.3515,0.0010000000000047748,0.13632986373895215,2129.82,156221.75994,1075.63,78908.44739,10584.470000000001,776190.3362000001,10660.95,782234.7326800001
2026-04-29T00:00:13.746814Z,2026-04-29T00:00:13.520000Z,1777420813520,SILVER,xyz:SILVER,73.351,453.4,3,73.354,1.5,2,73.35249999999999,0.0030000000000001137,0.4089840155414081,1185.8,86974.54189,1280.68,93950.57157,4307.39,315887.36762000003,13349.8,979481.2425099999
