captured_at_utc,exchange_time,exchange_time_ms,asset,symbol,market_id,book_nonce,best_bid_px,best_bid_sz,best_bid_orders,best_ask_px,best_ask_sz,best_ask_orders,mid_px,spread_px,spread_bps,bid_depth_5_sz,bid_depth_5_notional,ask_depth_5_sz,ask_depth_5_notional,bid_depth_20_sz,bid_depth_20_notional,ask_depth_20_sz,ask_depth_20_notional
2026-04-29T00:00:00.012531Z,2026-04-28T23:59:51.494798Z,1777420791494,BRENTOIL,BRENTOIL,159,10973101177,103.84,11.6315,0,103.86,58.4328,0,103.85,0.01999999999999602,1.9258545979774697,3475.0253,360744.54342,1406.9479999999999,146172.49680199998,41872.899600000004,4343090.826336,27719.917899999997,2882485.640671999
2026-04-29T00:00:01.052812Z,2026-04-29T00:00:00.616993Z,1777420800616,BRENTOIL,BRENTOIL,159,10973105338,103.84,2968.3064,0,103.86,152.2152,0,103.85,0.01999999999999602,1.9258545979774697,8008.323399999999,831383.8091729999,1785.8646,185535.24680400002,28174.6582,2922695.7706719995,25731.7103,2675711.7539969995
2026-04-29T00:00:02.002507Z,2026-04-29T00:00:01.571895Z,1777420801571,BRENTOIL,BRENTOIL,159,10973105992,103.85,227.128,0,103.86,154.5876,0,103.85499999999999,0.010000000000005116,0.96288093977229,12371.686300000001,1284371.477834,993.9689999999999,103266.46378000002,45315.92600000001,4701060.524199,32284.572200000002,3357784.332643
2026-04-29T00:00:03.011411Z,2026-04-29T00:00:02.558376Z,1777420802558,BRENTOIL,BRENTOIL,159,10973106770,103.85,119.128,0,103.86,154.5876,0,103.85499999999999,0.010000000000005116,0.96288093977229,8385.2762,870580.009454,993.9689999999999,103266.46378000002,47348.88540000001,4911923.287437,27862.881200000003,2897471.660943
2026-04-29T00:00:04.002704Z,2026-04-29T00:00:03.410678Z,1777420803410,BRENTOIL,BRENTOIL,159,10973107512,103.85,2888.8884,0,103.86,154.5876,0,103.85499999999999,0.010000000000005116,0.96288093977229,8385.2762,870601.7506579999,1392.6981,144705.468541,39743.5888,4122964.594525,38855.494600000005,4041483.86965
2026-04-29T00:00:05.012580Z,2026-04-29T00:00:03.861099Z,1777420803861,BRENTOIL,BRENTOIL,159,10973107913,103.85,2888.8884,0,103.86,154.5876,0,103.85499999999999,0.010000000000005116,0.96288093977229,8385.2762,870601.7506579999,993.9689999999999,103266.46378000002,47055.2135,4881317.162148001,28602.198600000003,2974405.029599
2026-04-29T00:00:06.011239Z,2026-04-29T00:00:05.392735Z,1777420805392,BRENTOIL,BRENTOIL,159,10973109295,103.85,2885.2884,0,103.86,154.5876,0,103.85499999999999,0.010000000000005116,0.96288093977229,8271.6762,858806.6132360001,1167.5285,121299.29583000002,46941.6137,4869522.045482001,31759.978599999995,3302790.023983999
2026-04-29T00:00:07.005183Z,2026-04-29T00:00:06.482689Z,1777420806482,BRENTOIL,BRENTOIL,159,10973110618,103.85,108.0,0,103.88,2.3724,0,103.865,0.030000000000001137,2.8883647041834246,9950.2482,1033005.170574,438.1091,45530.878331,38984.3785,4044086.3770250003,4851.277700000001,504558.0673239999
2026-04-29T00:00:08.013112Z,2026-04-29T00:00:07.505297Z,1777420807505,BRENTOIL,BRENTOIL,159,10973111938,103.87,2900.5601,0,103.88,2.3724,0,103.875,0.009999999999990905,0.9626955475322171,4071.9036000000006,422920.515976,978.1184000000001,101645.236201,37788.9149,3921326.875198,32449.7203,3375533.531076
2026-04-29T00:00:09.057395Z,2026-04-29T00:00:08.022526Z,1777420808022,BRENTOIL,BRENTOIL,159,10973112477,103.87,2900.5601,0,103.88,2.3724,0,103.875,0.009999999999990905,0.9626955475322171,8428.572800000002,875230.3163610001,978.1184000000001,101645.236201,46972.6765,4873316.0066949995,32449.7203,3375533.531076
2026-04-29T00:00:10.031871Z,2026-04-29T00:00:08.752932Z,1777420808752,BRENTOIL,BRENTOIL,159,10973113240,103.87,2900.5601,0,103.88,2.3724,0,103.875,0.009999999999990905,0.9626955475322171,4071.9036000000006,422920.515976,978.1184000000001,101645.236201,37788.9149,3921326.875198,32449.7203,3375533.531076
2026-04-29T00:00:11.012994Z,2026-04-29T00:00:08.752932Z,1777420808752,BRENTOIL,BRENTOIL,159,10973113240,103.87,2900.5601,0,103.88,2.3724,0,103.875,0.009999999999990905,0.9626955475322171,4071.9036000000006,422920.515976,978.1184000000001,101645.236201,37788.9149,3921326.875198,32449.7203,3375533.531076
2026-04-29T00:00:12.006514Z,2026-04-29T00:00:11.294363Z,1777420811294,BRENTOIL,BRENTOIL,159,10973115911,103.87,2900.5601,0,103.88,2.3724,0,103.875,0.009999999999990905,0.9626955475322171,4071.9036000000006,422920.538554,978.1184000000001,101645.236201,37865.97200000001,3929326.580712999,32449.7203,3375533.531076
2026-04-29T00:00:13.001439Z,2026-04-29T00:00:12.560732Z,1777420812560,BRENTOIL,BRENTOIL,159,10973117403,103.87,11.6717,0,103.88,98.5272,0,103.875,0.009999999999990905,0.9626955475322171,3500.0634999999997,363414.588239,1179.3879,122540.592068,34650.799699999996,3594424.923394,32589.738,3389896.899887
2026-04-29T00:00:14.012360Z,2026-04-29T00:00:13.192920Z,1777420813192,BRENTOIL,BRENTOIL,159,10973118228,103.87,11.5517,0,103.88,98.5272,0,103.875,0.009999999999990905,0.9626955475322171,3471.9809,360498.487455,1179.3879,122540.592068,43317.33989999999,4493538.017361,32589.738,3389896.711719
2026-04-29T00:00:15.009440Z,2026-04-29T00:00:13.887122Z,1777420813887,BRENTOIL,BRENTOIL,159,10973119017,103.87,11.5517,0,103.88,98.5272,0,103.875,0.009999999999990905,0.9626955475322171,4068.259,422396.528466,1179.3879,122540.592068,43709.392499999994,4534172.679681,32589.738,3389896.711719
2026-04-29T00:00:16.006925Z,2026-04-29T00:00:15.017008Z,1777420815017,BRENTOIL,BRENTOIL,159,10973120198,103.87,11.5517,0,103.88,98.5272,0,103.875,0.009999999999990905,0.9626955475322171,4068.259,422396.528466,1179.3879,122540.592068,43709.392499999994,4534172.679681,32589.738,3389896.711719
2026-04-29T00:00:17.001301Z,2026-04-29T00:00:16.481146Z,1777420816481,BRENTOIL,BRENTOIL,159,10973121614,103.87,90.9617,0,103.88,2.3724,0,103.875,0.009999999999990905,0.9626955475322171,3836.7351,398431.8110659999,807.0092,83859.664057,41801.143,4336638.779963,31903.606699999997,3318661.7753509996
2026-04-29T00:00:18.013043Z,2026-04-29T00:00:17.366158Z,1777420817366,BRENTOIL,BRENTOIL,159,10973122608,103.87,6.5446,0,103.88,178.0123,0,103.875,0.009999999999990905,0.9626955475322171,3466.9469000000004,360003.701525,1315.0118,136632.475224,31805.634199999997,3299480.421271,16048.516500000002,1669165.789174
2026-04-29T00:00:19.021431Z,2026-04-29T00:00:18.500537Z,1777420818500,BRENTOIL,BRENTOIL,159,10973124022,103.79,6.7224,0,103.8,0.1615,0,103.795,0.009999999999990905,0.9634375451602587,389.4375,40406.03198299999,642.2266,66683.71122299999,24426.906399999993,2532829.5962549993,10778.6922,1120120.653624
2026-04-29T00:00:20.040629Z,2026-04-29T00:00:19.611281Z,1777420819611,BRENTOIL,BRENTOIL,159,10973125124,103.79,6.6307,0,103.8,98.6023,0,103.795,0.009999999999990905,0.9634375451602587,3045.5402,316061.23559999996,1054.4372,109481.67544199999,36143.128000000004,3747407.274736,26438.081199999997,2747654.0577439996
2026-04-29T00:00:21.016241Z,2026-04-29T00:00:20.566316Z,1777420820566,BRENTOIL,BRENTOIL,159,10973126058,103.78,198.533,0,103.81,2.4475,0,103.795,0.030000000000001137,2.8903126354835145,6259.534900000001,649377.2527310001,895.5428999999999,93009.829726,21146.0098,2192399.1823519995,15618.744500000003,1623607.7322439998
2026-04-29T00:00:22.047470Z,2026-04-29T00:00:21.617904Z,1777420821617,BRENTOIL,BRENTOIL,159,10973126978,103.82,7.07,0,103.83,10.7824,0,103.82499999999999,0.010000000000005116,0.9631591620520219,7323.020399999999,759960.9297900001,1065.7308,110682.57911299999,40453.673,4194805.779657,27246.98,2832479.569982
2026-04-29T00:00:23.010508Z,2026-04-29T00:00:22.274532Z,1777420822274,BRENTOIL,BRENTOIL,159,10973127671,103.81,7.3252,0,103.82,1.4191,0,103.815,0.009999999999990905,0.9632519385436503,7323.275600000001,759987.755443,719.5227,74721.969024,40453.92630000001,4194832.375871,27102.1402,2817412.961836
2026-04-29T00:00:24.025172Z,2026-04-29T00:00:23.123259Z,1777420823123,BRENTOIL,BRENTOIL,159,10973128581,103.81,7.0852,0,103.82,1.4191,0,103.815,0.009999999999990905,0.9632519385436503,7323.0356,759962.8410430001,719.5227,74721.969024,40453.6863,4194807.461471,27102.1402,2817412.961836
2026-04-29T00:00:25.008548Z,2026-04-29T00:00:24.481815Z,1777420824481,BRENTOIL,BRENTOIL,159,10973129952,103.79,8.0904,0,103.8,1.4065,0,103.795,0.009999999999990905,0.9634375451602587,3392.1090999999997,351993.03934699995,1300.3285999999998,135015.463751,36631.116200000004,3797322.230393,22082.2275,2295070.616315
2026-04-29T00:00:26.007348Z,2026-04-29T00:00:25.444902Z,1777420825444,BRENTOIL,BRENTOIL,159,10973130924,103.78,8.0647,0,103.79,97.5673,0,103.785,0.010000000000005116,0.9635303752955742,4028.4509,417997.96000499994,744.1974,77260.283564,42880.406299999995,4445307.898088,28484.7347,2960073.794595
2026-04-29T00:00:27.004370Z,2026-04-29T00:00:26.287731Z,1777420826287,BRENTOIL,BRENTOIL,159,10973131652,103.78,0.8647,0,103.79,97.5673,0,103.785,0.010000000000005116,0.9635303752955742,4021.2509,417250.721626,892.3911,92647.56804499999,42873.20629999999,4444560.659708999,28473.645,2958919.9709739997
2026-04-29T00:00:28.001577Z,2026-04-29T00:00:27.338402Z,1777420827338,BRENTOIL,BRENTOIL,159,10973132437,103.78,0.6247,0,103.79,97.5673,0,103.785,0.010000000000005116,0.9635303752955742,3130.7151,324871.06969299994,892.3911,92647.56804499999,42572.6449,4413422.300764999,28473.645,2958919.9709739997
2026-04-29T00:00:29.050812Z,2026-04-29T00:00:28.529076Z,1777420828529,BRENTOIL,BRENTOIL,159,10973133560,103.77,2888.6484,0,103.78,9.1542,0,103.775,0.010000000000005116,0.9636232233201749,4020.1642,417133.584001,502.5801,52171.03957899999,42698.4071,4426428.763917999,23951.5308,2488627.969225
2026-04-29T00:00:30.015310Z,2026-04-29T00:00:29.528477Z,1777420829528,BRENTOIL,BRENTOIL,159,10973134364,103.77,2881.2084,0,103.78,9.1542,0,103.775,0.010000000000005116,0.9636232233201749,4012.7242,416361.53520099993,502.5801,52171.03957899999,42690.967099999994,4425656.715117999,23951.5308,2488627.969225
2026-04-29T00:00:31.013340Z,2026-04-29T00:00:30.578284Z,1777420830578,BRENTOIL,BRENTOIL,159,10973135244,103.72,42.642,0,103.78,19.5065,0,103.75,0.060000000000002274,5.783132530120701,4850.3567,502945.107673,1072.205,111295.583656,24490.115700000002,2537613.4157929993,27402.877600000003,2847315.000641
2026-04-29T00:00:32.007147Z,2026-04-29T00:00:31.353094Z,1777420831353,BRENTOIL,BRENTOIL,159,10973135926,103.75,2889.43,0,103.76,1.5084,0,103.755,0.010000000000005116,0.9638089730620323,3501.4840000000004,363262.05868,900.3053,93441.439753,44127.49469999999,4573329.066581999,26814.132200000004,2786033.759266
2026-04-29T00:00:33.004424Z,2026-04-29T00:00:32.510410Z,1777420832510,BRENTOIL,BRENTOIL,159,10973137181,103.73,0.4911,0,103.74,12.7319,0,103.735,0.009999999999990905,0.9639947944272333,6818.2985,706823.0435649999,641.2052,66535.153738,29863.829900000004,3093499.0868490003,6033.176600000001,626513.8503670001
2026-04-29T00:00:34.000688Z,2026-04-29T00:00:33.470634Z,1777420833470,BRENTOIL,BRENTOIL,159,10973138211,103.73,2881.6884,0,103.74,13.5652,0,103.735,0.009999999999990905,0.9639947944272333,7418.7196,769329.867284,642.0385,66621.60028,35840.3126,3713804.0337469997,25293.265900000002,2626991.8102329997
2026-04-29T00:00:35.010462Z,2026-04-29T00:00:34.259157Z,1777420834259,BRENTOIL,BRENTOIL,159,10973138917,103.73,2881.6884,0,103.74,13.5652,0,103.735,0.009999999999990905,0.9639947944272333,7514.874400000001,779300.1584960001,642.0385,66621.60028,48454.9906,5020316.808618001,25293.277500000004,2626992.869326
2026-04-29T00:00:36.005913Z,2026-04-29T00:00:35.322994Z,1777420835322,BRENTOIL,BRENTOIL,159,10973139680,103.73,2874.4884,0,103.74,13.5652,0,103.735,0.009999999999990905,0.9639947944272333,3655.8232,379193.751742,801.3192,83151.751326,44050.5272,4564356.91589,25293.277500000004,2626991.276519
2026-04-29T00:00:37.001120Z,2026-04-29T00:00:36.338040Z,1777420836338,BRENTOIL,BRENTOIL,159,10973140493,103.73,2867.1684,0,103.74,13.5652,0,103.735,0.009999999999990905,0.9639947944272333,7301.1429,757135.265903,801.3192,83151.751326,47663.30939999999,4938266.8812770005,25423.8339,2640539.301002
2026-04-29T00:00:38.002454Z,2026-04-29T00:00:37.496384Z,1777420837496,BRENTOIL,BRENTOIL,159,10973141342,103.73,2867.0484,0,103.74,13.5652,0,103.735,0.009999999999990905,0.9639947944272333,8333.940700000001,864207.711387,801.3191999999999,83150.15851899999,47841.250799999994,4956680.74768,25423.8339,2640537.7081950004
2026-04-29T00:00:39.059730Z,2026-04-29T00:00:38.600535Z,1777420838600,BRENTOIL,BRENTOIL,159,10973142165,103.73,2867.0484,0,103.74,13.5652,0,103.735,0.009999999999990905,0.9639947944272333,13119.4852,1360264.485549,1039.7062,107883.600832,52579.5921,5447051.130675001,28602.402900000005,2970783.0829300005
2026-04-29T00:00:40.017312Z,2026-04-29T00:00:39.458191Z,1777420839458,BRENTOIL,BRENTOIL,159,10973142867,103.73,2863.4484,0,103.74,13.5652,0,103.735,0.009999999999990905,0.9639947944272333,8240.9554,854557.4237710001,1039.7062,107883.600832,47548.82749999999,4926367.746386,28602.402900000005,2970783.0829300005
2026-04-29T00:00:41.053152Z,2026-04-29T00:00:40.493267Z,1777420840493,BRENTOIL,BRENTOIL,159,10973143780,103.73,2863.3284,0,103.74,13.5652,0,103.735,0.009999999999990905,0.9639947944272333,8639.3727,895941.142129,983.7208,102087.22070600001,42607.3097,4415330.868417,33441.5235,3473798.847705
2026-04-29T00:00:42.011594Z,2026-04-29T00:00:41.623994Z,1777420841623,BRENTOIL,BRENTOIL,159,10973144760,103.75,79.469,0,103.76,1.55,0,103.755,0.010000000000005116,0.9638089730620323,1234.7161,128064.37852,854.021,88655.04246899999,22685.226500000004,2350961.2935679997,25159.426000000003,2614394.680407
2026-04-29T00:00:43.001783Z,2026-04-29T00:00:42.623201Z,1777420842623,BRENTOIL,BRENTOIL,159,10973145511,103.75,2968.2374,0,103.77,13.6326,0,103.75999999999999,0.01999999999999602,1.9275250578253684,4334.0408,449617.51855,866.1036,89908.869371,30157.885500000008,3125667.4613169995,28928.7557,3006001.5186069994
2026-04-29T00:00:44.004871Z,2026-04-29T00:00:43.334957Z,1777420843334,BRENTOIL,BRENTOIL,159,10973146007,103.75,2960.4943,0,103.77,13.4409,0,103.75999999999999,0.01999999999999602,1.9275250578253684,13166.7396,1365704.5495139998,1170.3611,121500.324163,42494.70880000001,4404408.53989,32858.65350000001,3414633.8803679994
2026-04-29T00:00:45.001397Z,2026-04-29T00:00:44.545581Z,1777420844545,BRENTOIL,BRENTOIL,159,10973147176,103.75,2960.4943,0,103.77,13.4409,0,103.75999999999999,0.01999999999999602,1.9275250578253684,13166.7396,1365704.5495139998,1170.3611,121500.324163,42494.69520000001,4404409.058886,32858.65350000001,3414633.8803679994
2026-04-29T00:00:46.013332Z,2026-04-29T00:00:45.478003Z,1777420845478,BRENTOIL,BRENTOIL,159,10973147869,103.75,67.8859,0,103.76,11.199,0,103.755,0.010000000000005116,0.9638089730620323,1643.6545,170468.521472,715.2196,74237.284522,18128.372500000005,1878113.9247210003,25733.202600000004,2673731.1132799997
2026-04-29T00:00:47.006893Z,2026-04-29T00:00:46.163163Z,1777420846163,BRENTOIL,BRENTOIL,159,10973148412,103.76,2885.1684,0,103.77,109.6875,0,103.765,0.009999999999990905,0.9637160892392334,3461.3063000000006,359131.105637,1271.0538999999999,131949.482791,24023.770200000003,2489802.1929369997,32954.89590000001,3424620.9190620002
2026-04-29T00:00:48.050181Z,2026-04-29T00:00:47.150406Z,1777420847150,BRENTOIL,BRENTOIL,159,10973149092,103.76,2881.4484,0,103.77,109.6875,0,103.765,0.009999999999990905,0.9637160892392334,12226.807799999999,1268289.79798,1271.0538999999999,131949.482791,41455.93689999999,4297116.28884,32954.8959,3424621.073256
2026-04-29T00:00:49.012960Z,2026-04-29T00:00:48.572133Z,1777420848572,BRENTOIL,BRENTOIL,159,10973150262,103.76,2881.4484,0,103.77,1.5431,0,103.765,0.009999999999990905,0.9637160892392334,12282.5585,1274073.222132,1026.3506,106552.274008,41547.4851,4306621.566085,32750.596700000006,3403419.830258
2026-04-29T00:00:50.000164Z,2026-04-29T00:00:49.064959Z,1777420849064,BRENTOIL,BRENTOIL,159,10973150638,103.76,2881.4484,0,103.77,1.5431,0,103.765,0.009999999999990905,0.9637160892392334,12322.9626,1278264.743466,852.6742999999999,88519.463779,40431.5403,4190959.052338,29797.5132,3096584.043234
2026-04-29T00:00:51.010109Z,2026-04-29T00:00:50.431943Z,1777420850431,BRENTOIL,BRENTOIL,159,10973151533,103.76,2881.4484,0,103.79,81.0448,0,103.775,0.030000000000001137,2.8908696699591556,12323.1374,1278283.3053859998,1711.2988,177682.281311,42280.4051,4382550.762523,38503.0388,4001727.822635
2026-04-29T00:00:52.008407Z,2026-04-29T00:00:51.512820Z,1777420851512,BRENTOIL,BRENTOIL,159,10973152262,103.78,9.8661,0,103.79,81.0448,0,103.785,0.010000000000005116,0.9635303752955742,791.0343,82061.35565499999,1572.7881,163300.355786,30355.3349,3146565.7061279994,38399.0704,3990943.173972
2026-04-29T00:00:53.006690Z,2026-04-29T00:00:52.513852Z,1777420852513,BRENTOIL,BRENTOIL,159,10973152893,103.78,6.1461,0,103.79,81.0448,0,103.785,0.010000000000005116,0.9635303752955742,3676.2027000000003,381455.243323,1572.7881,163300.355786,36974.6381,3832880.6079,38399.0704,3990943.247406
2026-04-29T00:00:54.014764Z,2026-04-29T00:00:53.021629Z,1777420853021,BRENTOIL,BRENTOIL,159,10973153200,103.78,2.5461,0,103.79,81.0448,0,103.785,0.010000000000005116,0.9635303752955742,3343.4846000000002,346945.45480999997,1572.7881,163300.355786,37499.4211,3887305.96746,38399.0704,3990943.247406
2026-04-29T00:00:55.009865Z,2026-04-29T00:00:54.422556Z,1777420854422,BRENTOIL,BRENTOIL,159,10973154556,103.77,2967.3085,0,103.78,1.5654,0,103.775,0.010000000000005116,0.9636232233201749,7991.213300000001,829010.961294,746.6792,77517.192476,37873.88470000001,3926087.967195,31774.026499999996,3302004.3948569996
2026-04-29T00:00:56.014584Z,2026-04-29T00:00:55.235216Z,1777420855235,BRENTOIL,BRENTOIL,159,10973155372,103.77,2963.7085,0,103.78,1.5654,0,103.775,0.010000000000005116,0.9636232233201749,7987.613300000001,828637.3892940001,746.6792,77517.192476,37870.28540000001,3925714.3328430005,31774.0272,3302004.4675939996
2026-04-29T00:00:57.004796Z,2026-04-29T00:00:55.235216Z,1777420855235,BRENTOIL,BRENTOIL,159,10973155372,103.77,2963.7085,0,103.78,1.5654,0,103.775,0.010000000000005116,0.9636232233201749,7987.613300000001,828637.3892940001,746.6792,77517.192476,37870.28540000001,3925714.3328430005,31774.0272,3302004.4675939996
2026-04-29T00:00:58.049106Z,2026-04-29T00:00:57.281489Z,1777420857281,BRENTOIL,BRENTOIL,159,10973156927,103.77,2963.7085,0,103.78,1.5654,0,103.775,0.010000000000005116,0.9636232233201749,7931.552900000001,822822.780479,920.3556000000001,95548.454892,37814.225000000006,3919899.724028,31774.043999999998,3302002.9171459996
2026-04-29T00:00:59.022907Z,2026-04-29T00:00:57.281489Z,1777420857281,BRENTOIL,BRENTOIL,159,10973156927,103.77,2963.7085,0,103.78,1.5654,0,103.775,0.010000000000005116,0.9636232233201749,7931.552900000001,822822.780479,920.3556000000001,95548.454892,37814.225000000006,3919899.724028,31774.043999999998,3302002.9171459996
2026-04-29T00:01:00.005933Z,2026-04-29T00:00:59.507610Z,1777420859507,BRENTOIL,BRENTOIL,159,10973158510,103.75,0.7399,0,103.76,96.1548,0,103.755,0.010000000000005116,0.9638089730620323,1367.6488,141841.64670199997,525.6283000000001,54552.485386,19352.6361,2005722.8260070002,17876.7596,1857104.961587
2026-04-29T00:01:01.004046Z,2026-04-29T00:01:00.581307Z,1777420860581,BRENTOIL,BRENTOIL,159,10973159178,103.77,3010.5467,0,103.84,371.1824,0,103.805,0.07000000000000739,6.743413130389421,3930.0496999999996,407793.653154,1670.1282999999999,173453.33780900002,24010.4099,2488445.0137760006,21083.0628,2191391.0926889996
2026-04-29T00:01:02.001731Z,2026-04-29T00:01:01.520355Z,1777420861520,BRENTOIL,BRENTOIL,159,10973160270,103.76,2968.3604,0,103.78,96.1548,0,103.77000000000001,0.01999999999999602,1.9273393080848047,12381.0108,1284290.1381090002,781.6238000000001,81138.837378,42171.5821,4371119.1969800005,27723.3356,2880978.163407
2026-04-29T00:01:03.001396Z,2026-04-29T00:01:02.418442Z,1777420862418,BRENTOIL,BRENTOIL,159,10973161269,103.77,3.8033,0,103.78,96.1548,0,103.775,0.010000000000005116,0.9636232233201749,3570.7828,370493.48011400003,781.6238000000001,81138.837378,37339.653,3870732.123235,27724.299899999998,2881078.267447
2026-04-29T00:01:04.010280Z,2026-04-29T00:01:03.365735Z,1777420863365,BRENTOIL,BRENTOIL,159,10973162229,103.76,2968.3604,0,103.77,9.8553,0,103.765,0.009999999999990905,0.9637160892392334,12421.4149,1288479.771361,400.8459,41605.983035000005,42211.03710000001,4375209.064487,23712.550900000002,2463974.257926
