step_bps,max_layers,trades,pnl_usd,realized_pnl_usd,end_mark_pnl_usd,win_rate,avg_hold_s,avg_layers,max_used_layers,avg_max_notional_usd
0.5,3,4224,13605.63785591587,13612.67301308072,-7.0351571648498386,85.17992424242425,104.54900568181819,1.5492424242424243,3,15492.424242424242
0.5,5,4224,16403.065002383115,16409.909074121755,-6.844071738640924,85.17992424242425,104.54900568181819,1.6669034090909092,5,16669.034090909092
0.5,10,4224,17034.64180163041,17041.48587336905,-6.844071738640924,85.17992424242425,104.54900568181819,1.6872632575757576,9,16872.632575757576
1.0,3,4224,12474.641226233594,12478.974175720352,-4.332949486758009,84.91950757575758,104.54900568181819,1.386126893939394,3,13861.26893939394
1.0,5,4224,13667.565220568136,13671.898170054897,-4.332949486758009,84.91950757575758,104.54900568181819,1.425899621212121,5,14258.996212121212
1.0,10,4224,13791.551276743561,13795.884226230319,-4.332949486758009,84.91950757575758,104.54900568181819,1.4282670454545454,7,14282.670454545454
2.0,3,4224,10361.793407790392,10364.250471092331,-2.4570633019389727,84.51704545454545,104.54900568181819,1.2033617424242424,3,12033.617424242424
2.0,5,4224,10549.072796843197,10551.529860145134,-2.4570633019389727,84.51704545454545,104.54900568181819,1.2073863636363635,5,12073.863636363636
2.0,10,4224,10580.527622415684,10582.984685717622,-2.4570633019389727,84.51704545454545,104.54900568181819,1.207623106060606,6,12076.23106060606
3.0,3,4224,8837.4163372357,8839.567023024836,-2.1506857891372966,84.32765151515152,104.54900568181819,1.1105587121212122,3,11105.587121212122
3.0,5,4224,8903.437024906492,8905.58771069563,-2.1506857891372966,84.32765151515152,104.54900568181819,1.1112689393939394,5,11112.689393939394
3.0,10,4224,8903.437024906492,8905.58771069563,-2.1506857891372966,84.32765151515152,104.54900568181819,1.1112689393939394,5,11112.689393939394
